ID   Title   Description  Google_Product_Category   Link   Image_Link   Additional_Image_Link   Availability   Price   SalePrice   GTIN   MPN   Brand   Product_Type   Product_Type_Key   NoOfReviews   Product_Rating   Filters   Adult   Mobile_Link   Condition   Item_Group_ID   Color   Gender   Age_Group   Material   Pattern   Size   Size_Type   Size_System   Cross_Sellers_Product_Id   Seller_Name   Seller_IDshipping   shipping_weight   shipping_height   shipping_width   shipping_length   shipping_labelmulti_pack   is_bundle   promotion_id   promo_textcustom_label_0   adwords_redirect   excluded_destination   unit_pricing_measure   unit_pricing_base_measure   display_ads_title   display_ads_value   map_price   model_number
00070	Dogzilla Toss N Tug	Throw it, toss it, tug it for multiple ways to play with the Dogzilla&reg; Toss N Tug. Adjustable rope allows you to control the distance when thrown. Combination of tightly stuffed nylon and durable rope provides hours of interactive fun. Dirt friendly - stain and water-resistant . It floats - great for water play! &nbsp; *PRODUCT NOTE:Though we consider our dog toys to be some of the toughest in the world, we still recommend that you supervise your dog during play time, and remove the toy from your dog if it becomes damaged or parts become separated. No dog toy is indestructible, and every dog interacts with their toys differently. Supervised play will go a long way to helping your dogs toys last longer.	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys	https://www.petmate.com/product/00070	https://www.petmate.com/file/products/00070.RED.jpg		Out of Stock			029695000706		Dogzilla	dog toys	25	0		02181, 32059, 32051, 32052, 32006, 30914	no	https://www.petmate.com/file/products/00070.RED.jpg	new	dog toys	red							US										0	FALSE						EACH	EACH	DOGZILLA TOSSNTUG			00070
00071	Dogzilla Bonetugger	Toss it or tug it, the Dogzilla&reg; Bone Tugger is built hours of interactive action. Perfect for a game of tug-o-war and floats for great water play, the Bone Tugger soft on your dog's mouth for easy retrieval.  This toy is made of ultra-durable nylon material that's stain and water-resistant. Who's ready for the dog park?	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys	https://www.petmate.com/product/00071	https://www.petmate.com/file/products/00071.RED.jpg		In Stock			029695000713		Dogzilla	dog toys	25	0		30892, 47015, 31470, 181101	no	https://www.petmate.com/file/products/00071.RED.jpg	new	dog toys	red							US										0	FALSE						EACH	EACH	DOGZILLA BONETUGGER			00071
00072	Dogzilla Flying Disc	Dogzilla&reg; Flying Disc provides hours of tug and fetch fun for your dog! The disc floats and flies effortlessly making it great for land or water play. Features durable tear-resistant materials for extended tough play. This dog toy maintains its structured shape.	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys	https://www.petmate.com/product/00072	https://www.petmate.com/file/products/00072.MULTI.jpg		Out of Stock			029695000720		Dogzilla	dog toys	25	0		00074	no	https://www.petmate.com/file/products/00072.MULTI.jpg	new	dog toys	multi							US										0	FALSE						EACH	EACH	WMT DGZ FLYING DISC 3 INNER/180PK			00072
00074	Dogzilla Dino Disc Dog Toy	The Dogzilla&reg; Dino Disc Dog Toy features a center hole for easy gripping and carrying. The Aerodynamic design helps it to soar high in the sky while the multilayer construction also allows it to float making it a great toy for the water. The bright color increases visibility and helps prevent the Dino Disc from getting lost. Unique bumps help clean teeth and massage gums to help with canine dental health.  Great exercise toy for long distance games of fetch for both pet and pet parent. Precautions: Though we consider our dog toys to be some of the toughest in the world, we still recommend that you supervise your dog during play time, and remove the toy from your dog if it becomes damaged or parts become separated. No dog toy is indestructible, and every dog interacts with their toys differently. Supervised play will go a long way to helping your dogs toys last longer.	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys	https://www.petmate.com/product/00074	https://www.petmate.com/file/products/00074.RED.jpg		In Stock	10.99	10.99	029695532702		Dogzilla	dog toys	25	0		30889, 11200, 221101, 07050, 32306	no	https://www.petmate.com/file/products/00074.RED.jpg	new	dog toys	red							US										0	FALSE						EACH	EACH	Dogzilla Dino Disc			00074
00100	Petmate Sky Kennel 21" L x 15" H	The Petmate&reg; Small Sky Kennel&reg; is the ideal kennel for your pet's comfort and security. This heavy-duty 21" kennel features high- strength plastic construction, durable wire doors that interlock for added security, 360-degree wire ventilation windows to promote healthy air flow, non-corrosive plastic wing-nuts for durable assembly. and secure easy to operate door latches for safety. The Sky Kennel is considered the Gold standard for pet travel allowing your pet to feel at home even when traveling. Each kennel includes "Live Animal" identification labels and a dual food and water cup. The Sky Kennel is also eco-friendly and made from recycled materials. Meets most air travel requirements. Please contact your specific airline before traveling for verification of their specific requirements. Plastic made in the USA, handle and other components imported.PRODUCT NOTE: Interior Dimensions: 18.75" L x 13.5" W x 14.5" HFor assembly instructions, visit petmate.com/kennel-instructions	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennel & Run Accessories	https://www.petmate.com/product/00100	https://www.petmate.com/file/products/00100.LIGHT_GRAY.jpg		In Stock	49.95	49.95	029695001000		Petmate	dog travel	27	0		PP18, 7024182, JW01, PP33, 17020, 47000	no	https://www.petmate.com/file/products/00100.LIGHT_GRAY.jpg	new	dog travel	gray							US										0	FALSE						EACH	EACH	PM SKY KENNEL UP TO 15LBS			00100
00200	Petmate Sky Kennel 28" L x 21.5" H	The Petmate&reg; Sky Kennel&reg; is the ideal kennel for your pet's comfort and security. This heavy-duty 28" kennel features high- strength plastic construction, durable wire doors that interlock for added security, 360-degree wire ventilation windows to promote healthy air flow, non-corrosive plastic wing-nuts for durable assembly. and secure easy to operate door latches for safety. The Sky Kennel is considered the Gold standard for pet travel allowing your pet to feel at home even when traveling. Each kennel includes "Live Animal" identification labels and a dual food and water cup. The Sky Kennel is also eco-friendly and made from recycled materials. Meets most air travel requirements. Please contact your specific airline before traveling for verification of their specific requirements. Plastic made in the USA, handle and other components imported.PRODUCT NOTE: Interior Dimensions: 24.25" L x 18.25" W x 19.5" HFor assembly instructions, visit petmate.com/kennel-instructions	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennel & Run Accessories	https://www.petmate.com/product/00200	https://www.petmate.com/file/products/PM09.LIGHT_GRAY.jpg		In Stock	79.95	79.95	029695002007		Petmate	dog travel	27	0		10400, PM07, PP30, 06100, 43500,	no	https://www.petmate.com/file/products/PM09.LIGHT_GRAY.jpg	new	dog travel	gray							US										0	FALSE						EACH	EACH	PM SKY KENNEL 25 TO 30LBS			00200
00210	Aspen Pet Paracord Dog Leash	Aspen Pet&reg; Paracord Dog Leashes are intricately hand braided and designed with your pet's comfort in mind. Durably constructed using 550 paracord, these leashes are built to last. Use the chrome snap hook to attach to your dogs collar and wrap the handle around your wrist for more control over your dog during walks. Measures 5 feet in length. Matching collars available.	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel	https://www.petmate.com/product/00210	https://www.petmate.com/file/products/02154.CAMO.jpg		In Stock	12.99	12.99	029695002106		ASPEN PET	dog collars & leashes	20	0		AP09, 23367, 02345, 23626, PM75, 0324046	no	https://www.petmate.com/file/products/02154.CAMO.jpg	new	dog collars & leashes	camo							US										0	FALSE						EACH	EACH	AP LSH 3/4inchX 5 Paracord Camo			00210
00211	Aspen Pet Paracord Dog Leash	Aspen Pet&reg; Paracord Dog Leashes are intricately hand braided and designed with your pet's comfort in mind. Durably constructed using 550 paracord, these leashes are built to last. Use the chrome snap hook to attach to your dogs collar and wrap the handle around your wrist for more control over your dog during walks. Measures 5 feet in length. Matching collars available.	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel	https://www.petmate.com/product/00211	02154.PINK_WIDOW.jpg		In Stock	12.99	12.99	029695002113		ASPEN PET	dog collars & leashes	20	0		AP09, 23367, 02345, 23626, PM75, 0324046	no	02154.PINK_WIDOW.jpg	new	dog collars & leashes	pink							US										0	FALSE						EACH	EACH	AP LSH 3/4inchX 5 Paracord PINK			00211
00300	Petmate Sky Kennel 32" L x 24" H	The Petmate&reg; Sky Kennel&reg; is the ideal kennel for your pet's comfort and security. This heavy-duty 32" kennel features high- strength plastic construction, durable wire doors that interlock for added security, 360-degree wire ventilation windows to promote healthy air flow, non-corrosive plastic wing-nuts for durable assembly. and secure easy to operate door latches for safety. The Sky Kennel is considered the Gold standard for pet travel allowing your pet to feel at home even when traveling. Each kennel includes "Live Animal" identification labels and a dual food and water cup. The Sky Kennel is also eco-friendly and made from recycled materials. Meets most air travel requirements. Please contact your specific airline before traveling for verification of their specific requirements. Plastic made in the USA, handle and other components imported.PRODUCT NOTE: Interior Dimensions: 29.5" L x 19.75" W x 23.5" HFor assembly instructions, visit petmate.com/kennel-instructions	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennel & Run Accessories	https://www.petmate.com/product/00300	https://www.petmate.com/file/products/PM10.LIGHT_GRAY.jpg		In Stock	99.95	99.95	029695003004		Petmate	dog travel	27	0		25017, PM12, PM17, PM07, 26592, PM55	no	https://www.petmate.com/file/products/PM10.LIGHT_GRAY.jpg	new	dog travel	gray							US										0	FALSE						EACH	EACH	PM SKY KENNEL 30 TO 50LBS			00300
00381	Aspen Pet Paracord Collar	Aspen Pet&reg; Paracord Dog Collars are intricately hand braided and designed with your pet's comfort in mind. Durably constructed using 550 paracord, these collars are built to last. Available in multiple colors and sizes. Matching leashes available.	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel	https://www.petmate.com/product/00381	https://www.petmate.com/file/products/AP09.PINK_WIDOW.jpg		In Stock	9.99	9.99	029695003813		ASPEN PET	dog collars & leashes	20	0		02154, 02181, PM98, PM74, 10400, AP04,	no	https://www.petmate.com/file/products/AP09.PINK_WIDOW.jpg	new	dog collars & leashes	pink							US										0	FALSE						EACH	EACH	AP CLR SM 3/4inch X 14-18inch Paracord  PINK			00381
